rel_path,file_basename,time_band,cand_landmark,cand_city,cand_state,cand_country,matched,match_level,lat,lon,region,source,confidence
afternoon\0cce1a7299e55f9e3ebc3e13d0f0b4e1_horiz.jpg,0cce1a7299e55f9e3ebc3e13d0f0b4e1_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\52b02c76510a22a722f91af6f2c21395_vert.jpg,52b02c76510a22a722f91af6f2c21395_vert.jpg,afternoon,,,,,,,,,,,
afternoon\6776d2573865fd67f846775f093aa220_horiz.jpg,6776d2573865fd67f846775f093aa220_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Abandoned_houses_on_Bonaventure_Island_in_the_Gulf_of_St__Lawrence__Quebec__Canada_horiz.jpg,Abandoned_houses_on_Bonaventure_Island_in_the_Gulf_of_St__Lawrence__Quebec__Canada_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Abstraction_of_fractal_patterns_of_light_and_color_horiz.jpg,Abstraction_of_fractal_patterns_of_light_and_color_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\ADLaM_artwork_of_Fulani_culture_vert.jpg,ADLaM_artwork_of_Fulani_culture_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Adriatic_fig_leaf_close_up_photo_horiz.jpg,Adriatic_fig_leaf_close_up_photo_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Adult_male_Grant__039_s_gazelles__Nanger_granti__inside_Ngorongoro_Crater__Tanzania_vert.jpg,Adult_male_Grant__039_s_gazelles__Nanger_granti__inside_Ngorongoro_Crater__Tanzania_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Adult_southern_rockhopper_penguins__Eudyptes_chrysocome__on_Saunders_Island__Falkland_Islands_vert.jpg,Adult_southern_rockhopper_penguins__Eudyptes_chrysocome__on_Saunders_Island__Falkland_Islands_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_landscape_view_of_cliffs_and_green_valley__Kalalau_Valley__Kauai__Hawaii__USA_horiz.jpg,Aerial_landscape_view_of_cliffs_and_green_valley__Kalalau_Valley__Kauai__Hawaii__USA_horiz.jpg,afternoon,,,Hawaii,USA,hawaii,state,20.7984,-156.3319,NA,gazetteer,med
afternoon\Aerial_landscape_view_of_spectacular_N__Pali_coast__Kauai__Hawaii__USA_vert.jpg,Aerial_landscape_view_of_spectacular_N__Pali_coast__Kauai__Hawaii__USA_vert.jpg,afternoon,,,Hawaii,USA,hawaii,state,20.7984,-156.3319,NA,gazetteer,med
afternoon\Aerial_view_of_autumn_nature_landscape__Chifeng__Inner_Mongolia__China_horiz.jpg,Aerial_view_of_autumn_nature_landscape__Chifeng__Inner_Mongolia__China_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_a_beach_in_Acapulco__Mexico_horiz.jpg,Aerial_view_of_a_beach_in_Acapulco__Mexico_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_a_beautiful_reservoir_in_Guatap___Antioquia__Colombia_horiz.jpg,Aerial_view_of_a_beautiful_reservoir_in_Guatap___Antioquia__Colombia_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_a_car_driving_along_dirt_road_through_green_jungle__Korhogo__Ivory_Coast_horiz.jpg,Aerial_view_of_a_car_driving_along_dirt_road_through_green_jungle__Korhogo__Ivory_Coast_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_a_riverbed_in_Fja_r_rglj_fur_canyon__Iceland_vert.jpg,Aerial_view_of_a_riverbed_in_Fja_r_rglj_fur_canyon__Iceland_vert.jpg,afternoon,,,,Iceland,iceland,country,64.9631,-19.0208,EU,gazetteer,med
afternoon\Aerial_view_of_Banda_Islands_in_Moluccas_archipelago_with_Pulau_Gunung_Api__Indonesia_horiz.jpg,Aerial_view_of_Banda_Islands_in_Moluccas_archipelago_with_Pulau_Gunung_Api__Indonesia_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_bay_and_hills_on_Pulau_Padar_island__Komodo__Lesser_Sunda_Islands__Indonesia_vert.jpg,Aerial_view_of_bay_and_hills_on_Pulau_Padar_island__Komodo__Lesser_Sunda_Islands__Indonesia_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Beckton__Creekmouth__Royal_Arsenal__Thamesmead_West__Polthorne_Estate__Plumstead__UK_horiz.jpg,Aerial_view_of_Beckton__Creekmouth__Royal_Arsenal__Thamesmead_West__Polthorne_Estate__Plumstead__UK_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Berg_Lake__British_Columbia__Canada_horiz.jpg,Aerial_view_of_Berg_Lake__British_Columbia__Canada_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Blue_Moon_Lake_with_Jade_Dragon_Snow_Mountain__Lijiang__Yunnan__China_horiz.jpg,Aerial_view_of_Blue_Moon_Lake_with_Jade_Dragon_Snow_Mountain__Lijiang__Yunnan__China_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Bora_Bora_with_Mount_Otemanu_and_coral_reef__French_Polynesia_vert.jpg,Aerial_view_of_Bora_Bora_with_Mount_Otemanu_and_coral_reef__French_Polynesia_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_branch_of_Okavango_river__Botswana_vert.jpg,Aerial_view_of_branch_of_Okavango_river__Botswana_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_Cala_Macarella_beach_on_Menorca_island__Balearic_islands__Spain_horiz.jpg,Aerial_view_of_Cala_Macarella_beach_on_Menorca_island__Balearic_islands__Spain_horiz.jpg,afternoon,,,,Spain,spain,country,40.4637,-3.7492,EU,gazetteer,med
afternoon\Aerial_view_of_Conway_Scenic_Railroad_in_Crawford_Notch__White_Mountains__New_Hampshire__USA_vert.jpg,Aerial_view_of_Conway_Scenic_Railroad_in_Crawford_Notch__White_Mountains__New_Hampshire__USA_vert.jpg,afternoon,,,New Hampshire,USA,new hampshire,state,43.1939,-71.5724,NA,gazetteer,med
